longitude,latitude,flood_susceptibility,risk_class,risk_label
6.950671140939598,5.372259818791946,0.7858681647651189,3.0,high
6.950671140939598,5.3728191006711405,0.7862147762802905,3.0,high
6.950671140939598,5.373378382550335,0.7865709053070229,3.0,high
6.950671140939598,5.37393766442953,0.7869365790627574,3.0,high
6.950671140939598,5.374496946308724,0.787311821919682,3.0,high
6.950671140939598,5.375056228187919,0.7876966558416583,3.0,high
6.950671140939598,5.375615510067114,0.788091100880417,3.0,high
6.950671140939598,5.376174791946308,0.7884951757382461,3.0,high
6.950671140939598,5.376734073825503,0.7889088984051287,3.0,high
6.950671140939598,5.377293355704698,0.7893322868793076,3.0,high
6.950671140939598,5.377852637583892,0.7897653599809307,3.0,high
6.950671140939598,5.378411919463087,0.7902081382695485,3.0,high
6.950671140939598,5.3789712013422815,0.7906606450767402,3.0,high
6.950671140939598,5.379530483221476,0.791122907665988,3.0,high
6.950671140939598,5.380089765100671,0.7915949585323276,3.0,high
6.950671140939598,5.380649046979865,0.792076836854575,3.0,high
6.950671140939598,5.38120832885906,0.7925685901131148,3.0,high
6.950671140939598,5.381767610738255,0.7930702758857597,3.0,high
6.950671140939598,5.382326892617449,0.793581963833581,3.0,high
6.950671140939598,5.382886174496644,0.7941037378876388,3.0,high
6.950671140939598,5.3834454563758385,0.7946356986456311,3.0,high
6.950671140939598,5.384004738255033,0.7951779659853333,3.0,high
6.950671140939598,5.384564020134228,0.795730681898952,3.0,high
6.950671140939598,5.385123302013422,0.7962940135485013,3.0,high
6.950671140939598,5.385682583892617,0.7968681565381814,3.0,high
6.950671140939598,5.386241865771812,0.7974533383942515,3.0,high
6.950671140939598,5.386801147651006,0.7980498222365573,3.0,high
6.950671140939598,5.387360429530201,0.798657910618991,3.0,high
6.950671140939598,5.3879197114093955,0.79927794950778,3.0,high
6.950671140939598,5.38847899328859,0.7999103323574683,3.0,high
6.950671140939598,5.389038275167785,0.8005555042345596,3.0,high
6.950671140939598,5.389597557046979,0.801213965927638,3.0,high
6.950671140939598,5.390156838926174,0.8018862779712139,3.0,high
6.950671140939598,5.390716120805369,0.8025730644979556,3.0,high
6.950671140939598,5.391275402684563,0.8032750168207647,3.0,high
6.950671140939598,5.391834684563758,0.8039928966324217,3.0,high
6.950671140939598,5.3923939664429525,0.8047275386966504,3.0,high
6.950671140939598,5.392953248322147,0.8054798528898044,3.0,high
6.950671140939598,5.393512530201342,0.8062508254382217,3.0,high
6.950671140939598,5.394071812080536,0.8070415191818952,3.0,high
6.950671140939598,5.394631093959731,0.8078530726807616,3.0,high
6.950671140939598,5.395190375838926,0.808686697966263,3.0,high
6.950671140939598,5.39574965771812,0.8095436767270421,3.0,high
6.950671140939598,5.396308939597315,0.8104253547043432,3.0,high
6.950671140939598,5.39686822147651,0.8113331340591443,3.0,high
6.950671140939598,5.397427503355704,0.8122684634594248,3.0,high
6.950671140939598,5.397986785234899,0.8132328256208363,3.0,high
6.950671140939598,5.3985460671140935,0.814227722017008,3.0,high
6.950671140939598,5.399105348993288,0.8152546544549686,3.0,high
6.950671140939598,5.399664630872483,0.8163151031843574,3.0,high
6.950671140939598,5.400223912751677,0.8174105011738813,3.0,high
6.950671140939598,5.400783194630872,0.818542204140664,3.0,high
6.950671140939598,5.401342476510067,0.8197114558531569,3.0,high
6.950671140939598,5.401901758389261,0.820919348140394,3.0,high
6.950671140939598,5.402461040268456,0.8221667749232218,3.0,high
6.950671140939598,5.4030203221476505,0.8234543794292832,3.0,high
6.950671140939598,5.403579604026845,0.824782493556496,3.0,high
6.950671140939598,5.40413888590604,0.8261510681055706,3.0,high
6.950671140939598,5.404698167785234,0.827559592310404,3.0,high
6.950671140939598,5.405257449664429,0.829007000766478,3.0,high
6.950671140939598,5.405816731543624,0.8304915655191165,3.0,high
